cavity,group,folder,CRMS_Real,CRMS_Res,supp,variance_explained,variance_explained_percent,mean_blrms,CRMS_Delay_Res,supp_Delay
FC,LOFO_Training,1417615060,3.4914438258489004e-07,6.258764176155896e-08,5.578487585696717,0.9678658321305409,96.78658321305409,1054.420938861272,1.1119433375917097e-07,3.1399476104697976
FC,LOFO_Training,1417838418,1.8188731849352677e-07,3.8342212302196026e-08,4.7437877882468795,0.9555625126489177,95.55625126489177,806.5294999380309,8.864212107508301e-08,2.051928770290388
FC,LOFO_Training,1422316818,4.591436332491436e-07,1.1002080391485522e-07,4.173243758557459,0.942581413780642,94.2581413780642,804.7724373358416,1.3998227798393937e-07,3.2800125834630482
FC,LOFO_Training,1424689218,2.3922776176938743e-07,4.223091588245685e-08,5.6647542865336025,0.9688371013989144,96.88371013989145,1023.6653144097806,9.662049703270515e-08,2.4759525061065566
FC,LOFO_Training,1420416018,3.0217037106996607e-07,4.385032927834819e-08,6.890948734999981,0.9789407954968026,97.89407954968026,731.2278478769425,9.815217626497331e-08,3.078590639235769
FC,LOFO_Training,1418934929,3.3478198100860434e-07,4.8908453626249064e-08,6.845073932759297,0.9786575774786687,97.86575774786687,1185.0131948810701,1.3047676211617093e-07,2.565836058305377
FC,LOFO_Training,1420851618,3.335943486570958e-07,5.972373239848826e-08,5.585624596120183,0.9679478982868779,96.79478982868778,756.2580755510347,1.2764685636391493e-07,2.613416093115797
FC,LOFO_Training,1424736018,2.455765656668294e-07,4.39719659002077e-08,5.584843903139419,0.9679389366757014,96.79389366757015,899.4156661191275,9.72859007446863e-08,2.524277041041249
FC,LOFO_Training,1417846196,1.929379543833267e-07,4.022314074070072e-08,4.7966904331788776,0.9565373084335983,95.65373084335982,895.5645857176238,9.146785824539701e-08,2.109352488233603
FC,LOFO_Training,1420344018,3.588717882409329e-07,6.875319546596329e-08,5.219710673936525,0.9632965288928951,96.3296528892895,745.3890610746917,1.2317715011062148e-07,2.913460718312135
FC,LOFO_Training,1423267218,2.068037629154326e-07,4.240996141934974e-08,4.8763016044876055,0.9579448795392719,95.79448795392719,756.0778987883307,7.405386679748037e-08,2.792612619149132
FC,LOFO_Training,1423274418,2.1124814003855714e-07,4.203825729267123e-08,5.0251402803842025,0.9603992309359008,96.03992309359009,796.0476563581285,7.49768203678541e-08,2.8175126526054792
